,chapter_number,word,count
1193,2,over,4
1194,2,until,1
1195,2,morning,1
1196,2,wish,3
1197,2,wink,1
1198,2,kind,1
1199,2,scale,1
1200,2,usual,1
1201,2,here,5
1202,2,really,1
1203,2,sand,1
1204,2,see,6
1205,2,have,5
1206,2,hopeless,1
1207,2,sit,1
1208,2,dogs,3
1209,2,fan,4
1210,2,measure,1
1211,2,hair,2
1212,2,brown,1
1213,2,cried,8
1214,2,rabbit,4
1215,2,deal,2
1216,2,voice,4
1217,3,authority,1
1218,3,me,5
1219,3,saying,2
1220,3,the,100
1221,3,time,2
1222,3,prosecute,1
1223,3,pleaded,1
1224,3,crowded,3
1225,3,has,2
1226,3,confusion,1
1227,3,stay,1
1228,3,life,1
1229,3,getting,3
1230,3,joined,1
1231,3,crown,1
1232,3,audibly,1
1233,3,won,2
1234,3,sulky,1
1235,3,gravely,1
1236,3,yes,1
1237,3,elegant,1
1238,3,speech,2
1239,3,down,6
1240,3,did,6
1241,3,explain,1
1242,3,mean,1
1243,3,high,1
1244,3,next,1
1245,3,few,1
1246,3,his,3
1247,3,english,2
1248,3,paused,1
1249,3,question,5
1250,3,please,3
1251,3,any,1
1252,3,pattering,1
1253,3,dare,1
1254,3,mine,1
1255,3,tongue,1
1256,3,was,20
1257,3,got,3
1258,3,thimble,4
1259,3,whisper,1
1260,3,fury,2
1261,3,growled,1
1262,3,by,3
1263,3,draggled,1
1264,3,pointing,1
1265,3,sort,2
1266,3,more,6
1267,3,hastily,1
1268,3,cheered,1
1269,3,dodo,12
1270,3,age,1
1271,3,him,3
1272,3,might,2
1273,3,eagerly,2
1274,3,but,12
1275,3,distance,1
1276,3,normans,1
1277,3,wonder,2
1278,3,thing,6
1279,3,coming,1
1280,3,prize,1
1281,3,speak,3
1282,3,alice,23
1283,3,hurriedly,1
1284,3,your,8
1285,3,natural,1
1286,3,to,56
1287,3,edgar,1
1288,3,both,1
1289,3,sadly,1
1290,3,make,2
1291,3,water,1
1292,3,sight,1
1293,3,finger,2
1294,3,useful,1
1295,3,atheling,1
1296,3,spoke,1
1297,3,mercia,2
1298,3,submitted,1
1299,3,refused,1
1300,3,confused,1
1301,3,fur,1
1302,3,uncomfortable,1
1303,3,quite,5
1304,3,remarking,1
1305,3,accustomed,1
1306,3,help,1
1307,3,of,29
1308,3,our,3
1309,3,which,1
1310,3,without,2
1311,3,finished,1
1312,3,re,2
1313,3,remarkable,1
1314,3,remedies,1
1315,3,she,24
1316,3,wet,2
1317,3,been,2
1318,3,like,3
1319,3,little,5
1320,3,feet,1
1321,3,try,3
1322,3,ah,1
1323,3,wrapping,1
1324,3,enough,3
1325,3,into,1
1326,3,middle,1
1327,3,close,1
1328,3,tone,3
1329,3,than,1
1330,3,small,1
1331,3,adjourn,1
1332,3,judge,2
1333,3,would,6
1334,3,better,1
1335,3,back,4
1336,3,pet,1
1337,3,speaking,1
1338,3,puzzling,1
1339,3,thought,4
